Scope,Field,Description,Encoding / Unit,Applicability / Notes
System aggregate,reactive-power-micro-var-sum-arithmetic,System arithmetic reactive power sum,int64 fixed-point microvars,Standardized by the base schema but not required by the current AC Meter Profile.
System aggregate,power-factor-angle-arithmetic-deg,System arithmetic power factor angle,double degrees,Power factor values remain unsigned magnitudes; directional context comes from power values and angles rather than PF sign.
System aggregate,power-factor-angle-vectorial-deg,System vectorial power factor angle,double degrees,Power factor values remain unsigned magnitudes; directional context comes from power values and angles rather than PF sign.
System aggregate,metadata,Optional system measurement metadata,Object with measurement-period-s,Presence is meaningful; measurement periods describe averaging or integration windows rather than MQTT publication cadence.
System aggregate,active-power-micro-w-del,System delivered active power,int64 fixed-point microwatts,Standardized by the base schema but not required by the current AC Meter Profile.
System aggregate,active-power-micro-w-rec,System received active power,int64 fixed-point microwatts,Standardized by the base schema but not required by the current AC Meter Profile.
System aggregate,active-power-micro-w-net,System net active power,int64 fixed-point microwatts,Standardized by the base schema but not required by the current AC Meter Profile.
System aggregate,reactive-power-micro-var-del,System delivered reactive power,int64 fixed-point microvars,Standardized by the base schema but not required by the current AC Meter Profile.
System aggregate,reactive-power-micro-var-rec,System received reactive power,int64 fixed-point microvars,Standardized by the base schema but not required by the current AC Meter Profile.
System aggregate,reactive-power-micro-var-net,System net reactive power,int64 fixed-point microvars,Standardized by the base schema but not required by the current AC Meter Profile.
Auxiliary `other` object,neutral-current-imputed-micro-a,Imputed neutral current,int64 fixed-point microamps,Standardized by the base schema but not required by the current AC Meter Profile.
Auxiliary `other` object,load-side-voltage-micro-v,Load-side voltage,int64 fixed-point microvolts,Standardized by the base schema but not required by the current AC Meter Profile.
Auxiliary `other` object,neutral-current-micro-a,Measured neutral current,int64 fixed-point microamps,Standardized by the base schema but not required by the current AC Meter Profile.
Auxiliary `other` object,metadata,Optional auxiliary measurement metadata,Object with measurement-period-s,Presence is meaningful; measurement periods describe averaging or integration windows rather than MQTT publication cadence.
Harmonic scalar values,phase-a-current-harmonic-2nd-micro-a,Phase A second harmonic current magnitude,int64 fixed-point microamps,Standardized by the base schema but not required by the current AC Meter Profile.
Harmonic scalar values,phase-b-current-harmonic-2nd-micro-a,Phase B second harmonic current magnitude,int64 fixed-point microamps,Standardized by the base schema but not required by the current AC Meter Profile.
Harmonic scalar values,phase-c-current-harmonic-2nd-micro-a,Phase C second harmonic current magnitude,int64 fixed-point microamps,Standardized by the base schema but not required by the current AC Meter Profile.
Harmonic scalar values,phase-a-voltage-harmonic-2nd-micro-v,Phase A second harmonic voltage magnitude,int64 fixed-point microvolts,Standardized by the base schema but not required by the current AC Meter Profile.
Harmonic scalar values,phase-b-voltage-harmonic-2nd-micro-v,Phase B second harmonic voltage magnitude,int64 fixed-point microvolts,Standardized by the base schema but not required by the current AC Meter Profile.
Harmonic scalar values,phase-c-voltage-harmonic-2nd-micro-v,Phase C second harmonic voltage magnitude,int64 fixed-point microvolts,Standardized by the base schema but not required by the current AC Meter Profile.
Harmonic arrays,phase-a-harmonics.voltage-harmonic-micro-v,Phase A harmonic voltage magnitude array,Array of int64 fixed-point microvolts,Array index 0 represents the second harmonic; index 1 the third harmonic; and so forth.
Harmonic arrays,phase-a-harmonics.current-harmonic-micro-a,Phase A harmonic current magnitude array,Array of int64 fixed-point microamps,Array index 0 represents the second harmonic; index 1 the third harmonic; and so forth.
Harmonic arrays,phase-b-harmonics.voltage-harmonic-micro-v,Phase B harmonic voltage magnitude array,Array of int64 fixed-point microvolts,Array index 0 represents the second harmonic; index 1 the third harmonic; and so forth.
Harmonic arrays,phase-b-harmonics.current-harmonic-micro-a,Phase B harmonic current magnitude array,Array of int64 fixed-point microamps,Array index 0 represents the second harmonic; index 1 the third harmonic; and so forth.
Harmonic arrays,phase-c-harmonics.voltage-harmonic-micro-v,Phase C harmonic voltage magnitude array,Array of int64 fixed-point microvolts,Array index 0 represents the second harmonic; index 1 the third harmonic; and so forth.
Harmonic arrays,phase-c-harmonics.current-harmonic-micro-a,Phase C harmonic current magnitude array,Array of int64 fixed-point microamps,Array index 0 represents the second harmonic; index 1 the third harmonic; and so forth.
Harmonic arrays,metadata,Optional harmonic measurement metadata,Object with measurement-period-s,Presence is meaningful; measurement periods describe averaging or integration windows rather than MQTT publication cadence.
